id,year,sport,medal,code,country,host
31666,1924,biathlon,gold,SUI,Switzerland,FALSE
31666,1924,biathlon,silver,FIN,Finland,FALSE
31666,1924,biathlon,bronze,FRA,France,TRUE
31688,1924,bobsleigh,gold,SUI,Switzerland,FALSE
31688,1924,bobsleigh,silver,GBR,GreatBritain,FALSE
31688,1924,bobsleigh,bronze,BEL,Belgium,FALSE
31872,1924,crosscountry,gold,NOR,Norway,FALSE
31872,1924,crosscountry,silver,NOR,Norway,FALSE
31872,1924,crosscountry,bronze,FIN,Finland,FALSE
31872,1924,crosscountry,gold,NOR,Norway,FALSE
31872,1924,crosscountry,silver,NOR,Norway,FALSE
31872,1924,crosscountry,bronze,NOR,Norway,FALSE
31759,1924,figureskating,gold,SWE,Sweden,FALSE
31759,1924,figureskating,silver,AUT,Austria,FALSE
31759,1924,figureskating,bronze,SUI,Switzerland,FALSE
31759,1924,figureskating,gold,AUT,Austria,FALSE
31759,1924,figureskating,silver,FIN,Finland,FALSE
31759,1924,figureskating,bronze,FRA,France,TRUE
31759,1924,figureskating,gold,AUT,Austria,FALSE
31759,1924,figureskating,silver,USA,UnitedStatesofAmerica,FALSE
31759,1924,figureskating,bronze,GBR,GreatBritain,FALSE
31910,1924,icehockey,gold,CAN,Canada,FALSE
31910,1924,icehockey,silver,USA,UnitedStatesofAmerica,FALSE
31910,1924,icehockey,bronze,GBR,GreatBritain,FALSE
31911,1924,nordiccombined,gold,NOR,Norway,FALSE
31911,1924,nordiccombined,silver,NOR,Norway,FALSE
31911,1924,nordiccombined,bronze,NOR,Norway,FALSE
32498,1924,skijumping,gold,NOR,Norway,FALSE
32498,1924,skijumping,silver,NOR,Norway,FALSE
32498,1924,skijumping,bronze,USA,UnitedStatesofAmerica,FALSE
31853,1924,speedskating,gold,FIN,Finland,FALSE
31853,1924,speedskating,silver,NOR,Norway,FALSE
31853,1924,speedskating,bronze,FIN,Finland,FALSE
31853,1924,speedskating,gold,USA,UnitedStatesofAmerica,FALSE
31853,1924,speedskating,silver,NOR,Norway,FALSE
31853,1924,speedskating,bronze,FIN,Finland,FALSE
31853,1924,speedskating,gold,FIN,Finland,FALSE
31853,1924,speedskating,silver,NOR,Norway,FALSE
31853,1924,speedskating,bronze,NOR,Norway,FALSE
31853,1924,speedskating,gold,FIN,Finland,FALSE
31853,1924,speedskating,silver,FIN,Finland,FALSE
31853,1924,speedskating,bronze,NOR,Norway,FALSE
31853,1924,speedskating,gold,FIN,Finland,FALSE
31853,1924,speedskating,silver,FIN,Finland,FALSE
31853,1924,speedskating,bronze,NOR,Norway,FALSE
31704,1924,curling,gold,GBR,GreatBritain,FALSE
31704,1924,curling,silver,SWE,Sweden,FALSE
31704,1924,curling,bronze,FRA,France,TRUE
31688,1928,bobsleigh,gold,USA,UnitedStatesofAmerica,FALSE
31688,1928,bobsleigh,silver,USA,UnitedStatesofAmerica,FALSE
31688,1928,bobsleigh,bronze,GER,Germany,FALSE
31872,1928,crosscountry,gold,NOR,Norway,FALSE
31872,1928,crosscountry,silver,NOR,Norway,FALSE
31872,1928,crosscountry,bronze,NOR,Norway,FALSE
31872,1928,crosscountry,gold,SWE,Sweden,FALSE
31872,1928,crosscountry,silver,SWE,Sweden,FALSE
31872,1928,crosscountry,bronze,SWE,Sweden,FALSE
31759,1928,figureskating,gold,SWE,Sweden,FALSE
31759,1928,figureskating,silver,AUT,Austria,FALSE
31759,1928,figureskating,bronze,BEL,Belgium,FALSE
31759,1928,figureskating,gold,FRA,France,FALSE
31759,1928,figureskating,silver,AUT,Austria,FALSE
31759,1928,figureskating,bronze,AUT,Austria,FALSE
31759,1928,figureskating,gold,NOR,Norway,FALSE
31759,1928,figureskating,silver,AUT,Austria,FALSE
31759,1928,figureskating,bronze,USA,UnitedStatesofAmerica,FALSE
31910,1928,icehockey,gold,CAN,Canada,FALSE
31910,1928,icehockey,silver,SWE,Sweden,FALSE
31910,1928,icehockey,bronze,SUI,Switzerland,TRUE
31911,1928,nordiccombined,gold,NOR,Norway,FALSE
31911,1928,nordiccombined,silver,NOR,Norway,FALSE
31911,1928,nordiccombined,bronze,NOR,Norway,FALSE
32498,1928,skijumping,gold,NOR,Norway,FALSE
32498,1928,skijumping,silver,NOR,Norway,FALSE
32498,1928,skijumping,bronze,TCH,Czechoslovakia,FALSE
31853,1928,speedskating,gold,FIN,Finland,FALSE
31853,1928,speedskating,silver,NOR,Norway,FALSE
31853,1928,speedskating,bronze,USA,UnitedStatesofAmerica,FALSE
31853,1928,speedskating,gold,FIN,Finland,FALSE
31853,1928,speedskating,silver,NOR,Norway,FALSE
31853,1928,speedskating,bronze,NOR,Norway,FALSE
31853,1928,speedskating,gold,NOR,Norway,FALSE
31853,1928,speedskating,silver,FIN,Finland,FALSE
31853,1928,speedskating,bronze,NOR,Norway,FALSE
31698,1928,skeleton,gold,USA,UnitedStatesofAmerica,FALSE
31698,1928,skeleton,silver,USA,UnitedStatesofAmerica,FALSE
31698,1928,skeleton,bronze,GBR,GreatBritain,FALSE
31688,1932,bobsleigh,gold,USA,UnitedStatesofAmerica,TRUE
31688,1932,bobsleigh,silver,SUI,Switzerland,FALSE
31688,1932,bobsleigh,bronze,USA,UnitedStatesofAmerica,TRUE
31688,1932,bobsleigh,gold,USA,UnitedStatesofAmerica,TRUE
31688,1932,bobsleigh,silver,USA,UnitedStatesofAmerica,TRUE
31688,1932,bobsleigh,bronze,GER,Germany,FALSE
31872,1932,crosscountry,gold,SWE,Sweden,FALSE
31872,1932,crosscountry,silver,SWE,Sweden,FALSE
31872,1932,crosscountry,bronze,FIN,Finland,FALSE
31872,1932,crosscountry,gold,FIN,Finland,FALSE
31872,1932,crosscountry,silver,FIN,Finland,FALSE
31872,1932,crosscountry,bronze,NOR,Norway,FALSE
31759,1932,figureskating,gold,AUT,Austria,FALSE
31759,1932,figureskating,silver,SWE,Sweden,FALSE
31759,1932,figureskating,bronze,CAN,Canada,FALSE
31759,1932,figureskating,gold,FRA,France,FALSE
31759,1932,figureskating,silver,USA,UnitedStatesofAmerica,TRUE
31759,1932,figureskating,bronze,HUN,Hungary,FALSE
31759,1932,figureskating,gold,NOR,Norway,FALSE
31759,1932,figureskating,silver,AUT,Austria,FALSE
31759,1932,figureskating,bronze,USA,UnitedStatesofAmerica,TRUE
31910,1932,icehockey,gold,CAN,Canada,FALSE
31910,1932,icehockey,silver,USA,UnitedStatesofAmerica,TRUE
31910,1932,icehockey,bronze,GER,Germany,FALSE
31911,1932,nordiccombined,gold,NOR,Norway,FALSE
31911,1932,nordiccombined,silver,NOR,Norway,FALSE
31911,1932,nordiccombined,bronze,NOR,Norway,FALSE
32498,1932,skijumping,gold,NOR,Norway,FALSE
32498,1932,skijumping,silver,NOR,Norway,FALSE
32498,1932,skijumping,bronze,NOR,Norway,FALSE
31853,1932,speedskating,gold,USA,UnitedStatesofAmerica,TRUE
31853,1932,speedskating,silver,NOR,Norway,FALSE
31853,1932,speedskating,bronze,CAN,Canada,FALSE
31853,1932,speedskating,gold,USA,UnitedStatesofAmerica,TRUE
31853,1932,speedskating,silver,CAN,Canada,FALSE
31853,1932,speedskating,bronze,CAN,Canada,FALSE
31853,1932,speedskating,gold,USA,UnitedStatesofAmerica,TRUE
31853,1932,speedskating,silver,USA,UnitedStatesofAmerica,TRUE
31853,1932,speedskating,bronze,CAN,Canada,FALSE
31853,1932,speedskating,gold,USA,UnitedStatesofAmerica,TRUE
31853,1932,speedskating,silver,NOR,Norway,FALSE
31853,1932,speedskating,bronze,CAN,Canada,FALSE
31688,1936,bobsleigh,gold,USA,UnitedStatesofAmerica,FALSE
31688,1936,bobsleigh,silver,SUI,Switzerland,FALSE
31688,1936,bobsleigh,bronze,USA,UnitedStatesofAmerica,FALSE
31688,1936,bobsleigh,gold,SUI,Switzerland,FALSE
31688,1936,bobsleigh,silver,SUI,Switzerland,FALSE
31688,1936,bobsleigh,bronze,GBR,GreatBritain,FALSE
31872,1936,crosscountry,gold,SWE,Sweden,FALSE
31872,1936,crosscountry,silver,NOR,Norway,FALSE
31872,1936,crosscountry,bronze,FIN,Finland,FALSE
31872,1936,crosscountry,gold,SWE,Sweden,FALSE
31872,1936,crosscountry,silver,SWE,Sweden,FALSE
31872,1936,crosscountry,bronze,SWE,Sweden,FALSE
31872,1936,crosscountry,gold,FIN,Finland,FALSE
31872,1936,crosscountry,silver,NOR,Norway,FALSE
31872,1936,crosscountry,bronze,SWE,Sweden,FALSE
31759,1936,figureskating,gold,AUT,Austria,FALSE
